,QuestionId,UserId,GroupId,QuizId,Gender,IsCorrect,PremiumPupil,Age,DateAnswered,Confidence,Clusters_Kprot,Clusters_g_scipy,Clusters_g_ls,Clusters_g_la,Clusters_g_lc,Category1
379087,207,6032,104,78,1,1,False,11.0,20200102,0.0,1,2,0,2,2,Geometry and Measure
1026777,130,2956,153,55,2,1,False,0.0,20200304,0.0,0,2,0,1,1,Geometry and Measure
1347837,20,4471,275,105,0,1,False,0.0,20200210,0.0,1,2,0,1,1,Geometry and Measure
630173,868,4602,118,9,0,0,False,0.0,20200116,0.0,1,1,0,1,1,Algebra
363588,238,98,123,62,0,1,False,0.0,20200428,0.0,0,2,0,1,1,Number
286527,785,4554,332,101,2,1,False,12.0,20191115,75.0,2,2,0,0,2,Number
486105,242,1810,283,62,0,0,False,0.0,20191103,0.0,2,1,0,1,1,Number
19371,637,2034,382,46,1,0,False,12.0,20191120,0.0,2,1,0,0,1,Number
17834,469,2626,290,17,1,1,False,0.0,20191107,0.0,2,2,0,1,1,Number
167194,890,2620,260,73,2,0,False,12.0,20191030,0.0,2,1,0,2,1,Number
827271,159,2070,260,86,1,1,False,12.0,20200102,0.0,1,2,0,0,1,Algebra
729962,213,185,248,101,2,0,False,11.0,20191107,0.0,2,1,0,2,1,Number
346501,314,2075,195,62,0,1,False,0.0,20191118,0.0,2,2,0,1,1,Number
1284699,307,4244,164,59,2,0,False,11.0,20200326,0.0,0,1,0,2,1,Geometry and Measure
1319606,16,5328,150,101,2,1,False,11.0,20191028,0.0,2,2,0,2,2,Number
121755,533,1197,163,37,1,1,False,11.0,20191108,0.0,2,2,0,2,2,Algebra
663592,831,1869,363,65,2,1,True,11.0,20191121,0.0,2,2,0,2,0,Number
834934,911,5016,199,64,0,1,False,0.0,20191117,0.0,2,2,0,1,1,Number
1116075,292,431,249,57,2,0,False,0.0,20191015,0.0,2,1,0,1,1,Number
549825,525,1525,376,32,2,0,False,0.0,20191103,0.0,2,1,0,1,1,Number
213611,910,2209,96,77,1,1,False,0.0,20200410,0.0,0,2,0,1,1,Geometry and Measure
1238633,210,1737,194,84,0,1,False,0.0,20200103,0.0,1,2,0,1,1,Algebra
371937,650,5805,155,62,1,0,True,11.0,20191109,0.0,2,1,0,2,0,Number
541143,473,4902,115,57,0,1,False,0.0,20191018,100.0,2,2,0,1,1,Number
1006986,673,5363,231,25,1,1,False,11.0,20200105,0.0,1,2,0,2,2,Number
527893,72,3507,265,75,1,0,True,12.0,20200208,0.0,1,1,0,0,0,Number
737887,758,3955,2,53,0,1,False,0.0,20191005,0.0,2,2,0,1,1,Number
682798,877,999,283,55,0,1,False,0.0,20200207,0.0,1,2,0,1,1,Algebra
1197428,40,2957,165,63,1,0,True,11.0,20191111,0.0,2,1,0,2,0,Number
1244287,165,1920,75,39,2,1,True,11.0,20190930,0.0,2,2,0,2,0,Number
231236,236,5268,97,88,1,1,True,12.0,20191215,0.0,2,2,0,0,0,Geometry and Measure
658252,212,4308,282,39,0,0,False,0.0,20190928,0.0,2,1,0,1,1,Number
1366602,865,959,254,77,2,0,False,12.0,20200414,0.0,0,1,0,0,1,Geometry and Measure
359516,261,2252,14,75,2,0,True,11.0,20191111,0.0,2,1,0,2,0,Geometry and Measure
191946,414,879,206,115,2,0,False,0.0,20200327,0.0,0,1,0,1,1,Algebra
1268529,473,5262,200,57,2,1,False,11.0,20190927,0.0,2,2,0,2,2,Number
1374686,820,4182,27,105,1,1,True,11.0,20200107,50.0,1,2,0,2,0,Geometry and Measure
648554,624,1186,305,39,1,1,False,12.0,20191015,0.0,2,2,0,0,0,Number
1369699,592,3202,313,63,2,1,False,11.0,20191108,0.0,2,2,0,2,2,Number
201356,424,1860,313,92,1,0,True,11.0,20200224,0.0,1,1,0,2,0,Geometry and Measure
837565,767,4453,193,39,2,1,True,11.0,20191010,0.0,2,2,0,2,0,Number
632575,658,4205,21,9,0,1,False,0.0,20200324,0.0,0,2,0,1,1,Algebra
1138836,850,1468,175,9,1,0,True,11.0,20200105,0.0,1,1,0,2,0,Algebra
273759,913,4630,194,105,0,0,False,0.0,20200205,0.0,1,1,0,1,1,Geometry and Measure
546305,795,750,110,109,2,1,True,12.0,20191204,100.0,2,2,0,0,0,Number
1079634,911,422,201,64,1,0,False,11.0,20191111,0.0,2,1,0,2,2,Number
5320,737,4330,321,36,1,1,False,11.0,20200306,50.0,0,2,0,2,2,Geometry and Measure
988350,29,2828,311,66,2,1,False,12.0,20191229,50.0,2,2,0,0,2,Number
549048,0,3391,166,53,2,1,False,11.0,20191002,0.0,2,2,0,2,2,Number
674830,738,3651,335,65,0,1,False,0.0,20191209,0.0,2,2,0,1,1,Number
13413,465,1932,127,86,2,1,False,11.0,20200102,0.0,1,2,0,2,2,Algebra
562100,341,5652,129,87,1,0,False,0.0,20200220,0.0,1,1,0,1,1,Geometry and Measure
957132,599,1897,332,64,1,0,False,11.0,20191115,0.0,2,1,0,2,2,Number
973143,636,1735,339,113,0,1,False,0.0,20200202,0.0,1,2,0,1,1,Geometry and Measure
1047053,362,3481,48,97,0,0,False,0.0,20200303,0.0,0,1,0,1,1,Geometry and Measure
319895,10,4535,277,55,0,0,False,0.0,20200325,0.0,0,1,0,1,1,Algebra
965601,159,218,361,86,2,0,False,0.0,20191211,0.0,2,1,0,1,1,Algebra
1013040,833,3325,187,62,2,0,True,11.0,20191209,0.0,2,1,0,2,0,Number
499124,560,451,24,113,0,0,False,0.0,20200207,0.0,1,1,0,1,1,Geometry and Measure
401824,868,2405,202,9,2,1,True,12.0,20191204,100.0,2,2,0,2,0,Algebra
298017,794,349,198,9,1,1,False,12.0,20191202,0.0,2,2,0,0,1,Algebra
609007,82,1404,322,9,0,1,False,0.0,20191220,0.0,2,2,0,1,1,Algebra
1115032,586,3678,382,92,2,0,False,11.0,20200109,0.0,1,1,0,2,1,Geometry and Measure
22824,342,4774,221,53,2,1,False,12.0,20191014,50.0,2,2,0,0,1,Number
522809,30,629,360,37,1,0,False,0.0,20191206,0.0,2,1,0,1,1,Algebra
650998,545,1769,235,25,0,1,False,0.0,20200130,0.0,1,2,0,1,1,Algebra
666034,594,1429,248,18,1,0,False,11.0,20191003,0.0,2,1,0,2,2,Number
882285,877,2072,206,55,2,0,False,0.0,20200314,50.0,0,1,0,1,1,Algebra
1060433,219,2342,67,109,1,0,True,11.0,20191129,0.0,2,1,0,2,0,Number
535531,622,4887,96,6,2,1,False,0.0,20200226,0.0,1,2,0,1,1,Geometry and Measure
633401,756,2814,145,72,1,1,False,12.0,20200219,0.0,1,2,0,0,1,Geometry and Measure
1137054,675,4506,310,73,2,0,False,0.0,20191024,0.0,2,1,0,1,1,Number
343570,867,3261,272,64,0,0,False,0.0,20191202,0.0,2,1,0,1,1,Number
822341,267,2618,145,6,1,1,False,12.0,20200229,0.0,1,2,0,0,1,Algebra
354452,890,1024,210,73,0,0,False,0.0,20191208,75.0,2,1,0,1,1,Number
328416,138,5463,82,9,2,1,True,11.0,20200107,100.0,1,2,0,2,0,Algebra
1052968,417,2952,163,73,1,0,False,11.0,20191008,0.0,2,1,0,2,2,Number
512578,587,5074,300,63,2,1,False,11.0,20191109,0.0,2,2,0,2,2,Number
277077,547,3430,28,64,2,0,True,11.0,20191031,0.0,2,1,0,2,0,Number
629772,444,4052,253,112,0,0,False,0.0,20200415,0.0,0,1,0,1,1,Number
